Category,References,LCSC Part #,Value,Footprint
Capacitors,C5,C96175,220uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,C21,C2836436,470uF,CAP SMD 10.5X10MM ALUMINUM 470UF/35V
Capacitors,C22,C250030,47uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,C23,C307478,100nF,0603_CAP
Capacitors,C34,C304002,10uF,1206_CAP
Capacitors,C35,C307478,100nF,0603_CAP
Resistors,R2,C73809,1k,0603_RES
Resistors,R3,C73809,4k7,0603_RES
Resistors,R5,C269704,1K,0603_RES
Resistors,R6,C269704,1K,0603_RES
Resistors,R13,C23162,4.7K,0603_RES
Resistors,R14,C23162,4.7K,0603_RES
Resistors,R15,C23162,4.7K,0603_RES
Resistors,R16,C23162,4.7K,0603_RES
Resistors,R21,C23162,4.7K,0603_RES
Resistors,R22,C23162,4.7K,0603_RES
Resistors,R23,C23162,4.7K,0603_RES
Resistors,R24,C23162,4.7K,0603_RES
Resistors,R25,C23228,680,0603_RES
Resistors,R33,C351654,330,0603_RES
Resistors,R34,C351654,330,0603_RES
Resistors,R44,C269704,1K,0603_RES
Resistors,R64,C269704,1k,0603_RES
Resistors,R84,C328426,470,0603_RES
Integrated Circuits,U2,C2690548,ULN2803AFW,ULN2803AFW
Integrated Circuits,U7,C21706,TS78M05CP,TS78M05CP
Integrated Circuits,U10,C37663,DS3231SN,SOIC127P1032X265-16N
Integrated Circuits,U11,C91093,"LM2576-3,3",TO170P1410X464-6
Integrated Circuits,U18,C81193,AT24C512B,SO8
Transistors,Q01,C84268,LED smd 0603,LEDC2012X120
Transistors,Q02,C84268,LED smd 0603,LEDC2012X120
Transistors,Q03,C84268,LED smd 0603,LEDC2012X120
Diodes,D01,C727081,1n4007 Smd Do-214,DO214
Diodes,D02,C727081,1n4007 Smd Do-214,DO214
Diodes,D03,C727081,1n4007 Smd Do-214,DO214
Diodes,D28,C698867,SS36A,DIOM5226X230N
Diodes,D29,C698867,SS36A,DIOM5226X230N
Diodes,D33,C84367,1N4148W,SOD123
Miscellaneous,12V,C8404,OUT,TBLOCK-M2
Miscellaneous,3.3V,C8404,OUT,TBLOCK-M2
Miscellaneous,BAT1,C964750,3V,BAT 3V EG
Miscellaneous,COM,C8404,TBLOCK-M2,TBLOCK-M2
Miscellaneous,DEEP-SLEEP,C376075,DEEP-SLEEP,CONN-SIL2
Miscellaneous,ESPA,C124409,B2200S16PA120,CON16_1X16_U_FCI
Miscellaneous,ESPB,C124409,B2200S16PA120,CON16_1X16_U_FCI
Miscellaneous,F1,C182308,1A,FUSE SMD
Miscellaneous,I2C-M2-A,C8404,TBLOCK-M2,TBLOCK-M2
Miscellaneous,I2C-M2-B,C8404,TBLOCK-M2,TBLOCK-M2
Miscellaneous,J3,C474882,TBLOCK-M3,TBLOCK-M3
Miscellaneous,J4,C474882,TBLOCK-M3,TBLOCK-M3
Miscellaneous,JP1,C49257,SIP-3_2.5x7.62x2.54P,CONN-SIL3
Miscellaneous,L,C169389,100uh,SMD 12.5X12.5X5MM
Miscellaneous,L01,C84268,LED smd 0603,LEDC1608X60
Miscellaneous,LCD,C225501,CONN-H4,CONN-SIL4
Miscellaneous,LED-MQTT,C8404,TBLOCK-M2,TBLOCK-M2
Miscellaneous,LED-WI-FI,C8404,TBLOCK-M2,TBLOCK-M2
Miscellaneous,NODEMCU,C124409,B2200S16PA120,CON16_1X16_U_FCI
Miscellaneous,PW,C2286,LED-RED,LEDC2012X120
Miscellaneous,RELAY1,C35449,12 Vcc. 10 Amp,117211503
Miscellaneous,RELAY2,C35449,12 Vcc. 10 Amp,117211503
Miscellaneous,RELAY3,C35449,12 Vcc. 10 Amp,117211503
Miscellaneous,RST,C406158,BOTON 90 TH,118250272
Miscellaneous,SALIDAS,C474882,TBLOCK-M3,TBLOCK-M3
Miscellaneous,TBLOCK-M2,C8404,TBLOCK-M2,TBLOCK-M2
Miscellaneous,WI-FI-IO13,C406158,BOTON 90 TH,118250272
