Part ID,Value,Package,Part ID,Layer,Rotation,X,Y
LCD,CONN-H4,CONN-SIL4,LCD,TOP,0,19.03,77.3001
12V,OUT,TBLOCK-M2,12V,TOP,90,6.70001,63.598
3.3V,OUT,TBLOCK-M2,3.3V,TOP,90,6.70001,74.2942
RELAY1,12 Vcc. 10 Amp,117211503,RELAY1,TOP,0,90.7001,35.1
RELAY2,12 Vcc. 10 Amp,117211503,RELAY2,TOP,0,70.3999,35.1
RELAY3,12 Vcc. 10 Amp,117211503,RELAY3,TOP,0,70.3999,19.4
U10,DS3231SN,SOIC127P1032X265-16N,U10,TOP,0,83.8101,61.625
U18,AT24C512B,SO8,U18,TOP,90,104.665,60.4964
L01,LED smd 0603,LEDC1608X60,L01,TOP,180,15.4,47.6001
R25,680,0603_RES,R25,TOP,-180,33.0365,77.7999
R24,4.7K,0603_RES,R24,TOP,180,94.2363,54.5
R23,4.7K,0603_RES,R23,TOP,180,94.2363,57.3999
R21,4.7K,0603_RES,R21,TOP,0,103.836,68.0001
R22,4.7K,0603_RES,R22,TOP,0,100.664,68.0001
R84,470,0603_RES,R84,TOP,0,107.264,68.0999
D33,1N4148W,SOD123,D33,TOP,180,94.4999,60.3001
Q01,LED smd 0603,LEDC2012X120,Q01,TOP,0,107.2,32.7
Q02,LED smd 0603,LEDC2012X120,Q02,TOP,0,107.2,37.7
Q03,LED smd 0603,LEDC2012X120,Q03,TOP,0,107.2,42.6999
U7,TS78M05CP,TS78M05CP,U7,TOP,180,26.2999,24.1475
U11,LM2576-3,TO170P1410X464-6,U11,TOP,90,50.9999,19.8279
F1,1A,FUSE SMD,F1,TOP,0,14.0748,13.2
C21,470uF,CAP SMD 10.5X10MM ALUMINUM 470UF/35V,C21,TOP,0,26.4,39.45
C5,220uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V,C5,TOP,0,37.2999,37.5001
C22,47uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V,C22,TOP,0,37.1,23.8
BAT1,3V,BAT 3V EG,BAT1,TOP,270,41.15,55.1
PW,LED-RED,LEDC2012X120,PW,TOP,90,13.1,17.5
L,100uh,SMD 12.5X12.5X5MM,L,TOP,180,51.75,34.9499
D29,SS36A,DIOM5226X230N,D29,TOP,0,39.05,14.2
D28,SS36A,DIOM5226X230N,D28,TOP,0,14.95,23.5
C23,100nF,0603_CAP,C23,TOP,0,17.726,26.3685
C35,100nF,0603_CAP,C35,TOP,180,33.0365,75.6001
R6,1K,0603_RES,R6,TOP,0,63.8635,50.3999
R44,1K,0603_RES,R44,TOP,0,67.2635,47.2999
R64,1k,0603_RES,R64,TOP,180,67.1365,50.3999
TBLOCK-M2,TBLOCK-M2,TBLOCK-M2,TBLOCK-M2,TOP,90,6.70001,17.1981
RST,BOTON 90 TH,118250272,RST,TOP,0,52.4901,5.36999
WI-FI-IO13,BOTON 90 TH,118250272,WI-FI-IO13,TOP,0,65.4901,5.36999
LED-MQTT,TBLOCK-M2,TBLOCK-M2,LED-MQTT,TOP,0,52.2018,76.0001
LED-WI-FI,TBLOCK-M2,TBLOCK-M2,LED-WI-FI,TOP,0,40.9981,76.0001
D01,1n4007 Smd Do-214,DO214,D01,TOP,0,112.808,62.9999
D02,1n4007 Smd Do-214,DO214,D02,TOP,0,112.892,58.8
D03,1n4007 Smd Do-214,DO214,D03,TOP,0,112.992,54.6001
C34,10uF,1206_CAP,C34,TOP,0,94.4253,63.0999
R13,4.7K,0603_RES,R13,TOP,0,81.5637,53.2
R14,4.7K,0603_RES,R14,TOP,180,77.8365,53.2
R15,4.7K,0603_RES,R15,TOP,0,63.9364,47.2999
R16,4.7K,0603_RES,R16,TOP,180,84.7636,53.2
R33,330,0603_RES,R33,TOP,0,65.5335,74.0801
R34,330,0603_RES,R34,TOP,0,62.4365,74.2
SALIDAS,TBLOCK-M3,TBLOCK-M3,SALIDAS,TOP,270,115.7,37.8
ESPA,B2200S16PA120,CON16_1X16_U_FCI,ESPA,TOP,180,93.55,77.9
NODEMCU,B2200S16PA120,CON16_1X16_U_FCI,NODEMCU,TOP,180,93.57,72.6001
JP1,SIP-3_2.5x7.62x2.54P,CONN-SIL3,JP1,TOP,-90,21.4,52.2
U2,ULN2803AFW,ULN2803AFW,U2,TOP,-90,64.995,61.8299
ESPB,B2200S16PA120,CON16_1X16_U_FCI,ESPB,TOP,180,93.55,50.2999
J3,TBLOCK-M3,TBLOCK-M3,J3,TOP,90,6.70001,48.1962
J4,TBLOCK-M3,TBLOCK-M3,J4,TOP,90,6.70001,31.7962
COM,TBLOCK-M2,TBLOCK-M2,COM,TOP,270,115.7,23.9019
DEEP-SLEEP,DEEP-SLEEP,CONN-SIL2,DEEP-SLEEP,TOP,0,78.47,4.59999
I2C-M2-A,TBLOCK-M2,TBLOCK-M2,I2C-M2-A,TOP,0,104.002,5.09999
I2C-M2-B,TBLOCK-M2,TBLOCK-M2,I2C-M2-B,TOP,0,93.4019,5.09999
R2,1k,0603_RES,R2,TOP,90,59.3001,13.2636
R3,4k7,0603_RES,R3,TOP,0,15.4364,49.8
R5,1K,0603_RES,R5,TOP,0,60.6364,50.3999
